date, steps
2014-02-08, 1496
2014-02-07, 7318
2014-02-06, 5007
2014-02-05, 12559
2014-02-04, 18729
2014-02-03, 12840
2014-02-02, 426
2014-02-01, 4461
2014-01-31, 2576
2014-01-30, 10654
2014-01-29, 8283
2014-01-28, 7634
2014-01-27, 8585
2014-01-26, 17024
2014-01-25, 18534
2014-01-24, 9811
2014-01-23, 10958
2014-01-22, 10730
2014-01-21, 10501
2014-01-20, 6290
2014-01-19, 11150
2014-01-18, 3305
2014-01-17, 6221
2014-01-16, 930
2014-01-15, 11176
2014-01-14, 8079
2014-01-13, 541
2014-01-12, 9911
2014-01-11, 8845
2014-01-10, 8410
2014-01-09, 8798
2014-01-08, 11341
2014-01-07, 6352
2014-01-06, 1475
2014-01-05, 7381
2014-01-04, 5281
2014-01-03, 4892
2014-01-02, 8560
2014-01-01, 9263
2013-12-31, 9523
2013-12-30, 6095
2013-12-29, 7264
2013-12-28, 9281
2013-12-27, 5073
2013-12-26, 5943
2013-12-25, 8465
2013-12-24, 8318
2013-12-23, 6467
2013-12-22, 3963
2013-12-21, 5082
2013-12-20, 5296
2013-12-19, 12597
2013-12-18, 7152
2013-12-17, 5315
2013-12-16, 4950
2013-12-15, 8081
